Country,Balance,Time,Product,Value,Unit,Month,Year
Colombia,Net Electricity Production,2020-03-01,Wind,0.0,GWh,3,2020
Colombia,Net Electricity Production,2020-02-01,Hydro,3452.5597,GWh,2,2020
Colombia,Net Electricity Production,2020-02-01,Combustible Renewables,173.7708,GWh,2,2020
Colombia,Net Electricity Production,2020-02-01,Geothermal,0.0,GWh,2,2020
Colombia,Net Electricity Production,2020-02-01,Solar,15.6607,GWh,2,2020
Colombia,Net Electricity Production,2020-02-01,Other Renewables,0.0,GWh,2,2020
Colombia,Net Electricity Production,2020-02-01,Wind,0.0,GWh,2,2020
Colombia,Net Electricity Production,2020-01-01,Hydro,3910.4444,GWh,1,2020
Colombia,Net Electricity Production,2020-01-01,Combustible Renewables,173.7709,GWh,1,2020
Colombia,Net Electricity Production,2020-01-01,Geothermal,0.0,GWh,1,2020
Colombia,Net Electricity Production,2020-01-01,Solar,15.9132,GWh,1,2020
Colombia,Net Electricity Production,2020-01-01,Other Renewables,0.0,GWh,1,2020
Colombia,Net Electricity Production,2020-01-01,Wind,0.5113,GWh,1,2020
Colombia,Net Electricity Production,2019-12-01,Hydro,3824.1722,GWh,12,2019
Colombia,Net Electricity Production,2019-12-01,Combustible Renewables,127.1489,GWh,12,2019
Colombia,Net Electricity Production,2019-12-01,Geothermal,0.0,GWh,12,2019
Colombia,Net Electricity Production,2019-12-01,Solar,12.0707,GWh,12,2019
